2026-06-22 11:54:44 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpabcwkrhg.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 11:54:45 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpj5nhui3q\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 11:54:45 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpj5nhui3q\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 11:57:48 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpsw30xu_v.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 11:57:49 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpjb2icqn1\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 11:57:49 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpjb2icqn1\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:00:30 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpeiyubju8.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:00:31 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmplfk3bf20\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:00:31 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmplfk3bf20\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:03:22 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp2qxs2jt4.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:03:24 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpm2aknler\img_0.mrc | shape: 256x256x1 | dtype: float32
